# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
zhu yi li 	注意力	c=1 d=1 t=2614
zhu yuan 	住院	c=2 d=1.02096 t=1942
zhua 	抓	c=1 d=1 t=4817
zhua lao shu 	抓老鼠	c=1 d=1 t=6106
zhua ni 	抓你	c=1 d=1 t=4603
zhua qi lai 	抓起来	c=0 d=0.1 t=4973
zhua zou 	抓走	c=1 d=1 t=4610
zhuan 	转	c=3 d=1.3624 t=5540
zhuan dian 	赚点	c=1 d=1 t=303
zhuan fa 	转发	c=1 d=1 t=35
zhuan gei 	转给	c=0 d=0.1 t=1063
zhuan gei wo 	转给我	c=1 d=1 t=1064
zhuan ji 	传记	c=1 d=1 t=1788
zhuan men 	专门	c=0 d=0.1 t=898
zhuan men gei 	专门给	c=1 d=1 t=899
zhuan rang 	转让	c=1 d=1 t=5544
zhuan zhang 	转账	c=1 d=1 t=3131
zhuang 	撞	c=1 d=1 t=6262
zhuang 	装	c=2 d=1.00012 t=6015
zhuang ji 	撞击	c=1 d=1 t=633
zhuang ren 	撞人	c=1 d=1 t=6008
zhuang sha 	装傻	c=1 d=1 t=1832
zhuang tai 	状态	c=1 d=1 t=1561
zhun bei 	准备	c=1 d=1.02165 t=1503
zhun bei hao le 	准备好了	c=1 d=1 t=1466
zhun shi 	准时	c=1 d=1 t=6435
zhuo xiang 	着想	c=0 d=0.1 t=1283
zi 	字	c=3 d=1.00011 t=6531
zi 	紫	c=1 d=1 t=228
zi 	自	c=2 d=1 t=6507
zi chan 	资产	c=1 d=1 t=3460
zi ci 	兹呲	c=1 d=1 t=5903
zi dai 	自带	c=1 d=1 t=221
zi dong 	自动	c=1 d=1 t=4548
zi dong zhuan fa 	自动转发	c=1 d=1 t=34
zi ji 	自己	c=8 d=1.00109 t=5567
zi ji de 	自己的	c=1 d=1 t=6250
zi ji dong 	自己动	c=1 d=1 t=3630
zi ji kan 	自己看	c=0 d=0.1 t=1036
zi ji suan hao 	自己算好	c=1 d=1 t=770
zi ji xuan 	自己选	c=1 d=1 t=4196
zi ji zi zu 	自给自足	c=1 d=1 t=3823
zi ku 	字库	c=1 d=1 t=1027
zi qu 	自取	c=2 d=1.94649 t=1426
zi ran 	自然	c=2 d=1 t=5563
zi tan bu ru 	自叹不如	c=1 d=1 t=4596
zi ti 	自提	c=2 d=1.9802 t=1428
zi wo 	自我	c=1 d=1 t=2106
zi xiu shi 	自修室	c=2 d=1.98511 t=6041
zi xue 	自学	c=1 d=1 t=1790
zi you niao 	自由鸟	c=1 d=1 t=6638
zi yuan 	自愿	c=1 d=1 t=1115
zi zhi 	自制	c=4 d=1.2658 t=3822
zi zhi de 	自制的	c=1 d=1 t=4378
zi zhu 	自助	c=2 d=1 t=3301
zong 	总	c=2 d=1 t=5261
zong neng 	总能	c=1 d=1 t=3089
zong zi 	粽子	c=1 d=1 t=1633
zou 	走	c=1 d=0.510656 t=5408
zou shen 	走神	c=1 d=1 t=5325
zu 	租	c=5 d=1.00232 t=6461
zu duan 	阻断	c=2 d=1.9802 t=4068
zu fang 	租房	c=3 d=1.97283 t=4243
zu gou 	足够	c=1 d=1 t=602
zu jin 	租金	c=2 d=1.00013 t=5250
zu kang 	阻抗	c=2 d=1.54881 t=2260
zu zhi 	组织	c=1 d=1 t=2655
zu zhi de 	组织的	c=1 d=1 t=5998
zui 	最	c=2 d=1.00756 t=4637
zui an 	罪案	c=1 d=1 t=4255
zui chang yong 	最常用	c=1 d=1 t=1481
zui duo 	最多	c=2 d=1.00028 t=1800
zui hao 	最好	c=1 d=1 t=454
zui hao he 	最好喝	c=1 d=1 t=1582
zui hou 	最后	c=1 d=1 t=6445
zui hou yi ci 	最后一次	c=0 d=0.1 t=6722
zui hou yi ci le 	最后一次了	c=1 d=1 t=6723
zui jin 	最近	c=11 d=1.55104 t=6653
zui li 	嘴里	c=0 d=0.1 t=6320
zui li le 	嘴里了	c=1 d=1 t=6321
zui ren 	罪人	c=1 d=1 t=6060
zui yan zhong 	最严重	c=1 d=1 t=1691
zui zao 	最早	c=1 d=1 t=2947
zui zhong 	最终	c=1 d=1 t=2178
zui zhong yao 	最重要	c=1 d=1 t=984
zuo 	作	c=0 d=0.141478 t=1587
zuo 	做	c=11 d=2.84309 t=6044
zuo 	咗	c=2 d=1.98511 t=2542
zuo 	左	c=2 d=1.03615 t=2534
zuo 	座	c=1 d=1 t=5776
zuo bi 	左臂	c=1 d=1 t=3503
zuo de 	做得	c=1 d=1 t=2348
zuo de 	做的	c=0 d=0.1 t=311
zuo dun 	佐敦	c=1 d=1 t=3930
zuo fan 	做饭	c=3 d=1 t=3542
zuo hao 	做好	c=1 d=1 t=856
zuo hao 	坐好	c=0 d=0.1 t=341
zuo he 	作何	c=1 d=1 t=6549
zuo le 	做了	c=1 d=1 t=2408
zuo le ge 	做了个	c=1 d=1 t=898
zuo shang 	左上	c=1 d=1 t=4727
zuo shang lai 	坐上来	c=1 d=1 t=3629
zuo ti 	做题	c=2 d=1.90484 t=1824
zuo tian 	昨天	c=1 d=1.00195 t=1677
zuo tian lian wan 	昨天练完	c=1 d=1 t=891
zuo wan 	做完	c=1 d=1 t=902
zuo wei 	作为	c=0 d=0.1 t=1814
zuo xiong 	左胸	c=1 d=1 t=2305
zuo yi 	座椅	c=0 d=0.1 t=2856
zuo yi ge 	做一个	c=1 d=1 t=2339
zuo yi wan 	座椅晚	c=1 d=1 t=2857
zuo yong 	作用	c=2 d=1.99005 t=2091
zuo zhe 	作者	c=3 d=1.94176 t=3619
